zip,city,state,MedianIncome,MedianIncomeRank,CostOfLivingIndex,CostOfLivingRank,MedianMortgageToIncomeRatio,MedianMortgageToIncomeRank,OwnerOccupiedHomesPercent,OwnerOccupiedHomesRank,MedianRoomsInHome,MedianRoomsInHomeRank,CollegeDegreePercent,CollegeDegreeRank,ProfessionalPercent,ProfessionalRank,Population,PopulationRank,AverageHouseholdSize,AverageHouseholdSizeRank,MedianAge,MedianAgeRank,MaleToFemaleRatio,MaleToFemaleRank,MarriedPercent,MarriedRank,DivorcedPercent,DivorcedRank,WhitePercent,WhiteRank,BlackPercent,BlackRank,AsianPercent,AsianRank,HispanicEthnicityPercent,HispanicEthnicityRank
98199,Seattle,WA,59542,86,376.8,97,23.9,83,63.6,18,5.5,49,55.1,96,56.1,96,19287,73,2.1,4,40.5,82,92.3,50,55.0,23,10.9,71,85.9,43,1.6,51,5.6,92,3.0,60


,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98199,Seattle,WA,59542,86,376.8,97,23.9,83,63.6,18,5.5,49,55.1,96,56.1,96,19287,73,2.1,4,40.5,82,92.3,50,55.0,23,10.9,71,85.9,43,1.6,51,5.6,92,3.0,60
